,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
152,2019/06/02,Y,週日,12,141691,24℃,28℃,多云,87690,87158,N,0,37.408
153,2019/06/03,N,0,12,141691,23℃,28℃,小雨,82132,88972,Y,0,13.88
154,2019/06/04,N,0,12,141691,23℃,27℃,小雨~多云,74889,77584,Y,0,17.988
155,2019/06/05,N,0,12,141691,24℃,28℃,多云~阴,78776,81928,Y,0,16.809
156,2019/06/06,N,0,12,141691,25℃,29℃,阴,81635,83591,Y,0,22.557
157,2019/06/07,Y,端午節彈性放假,12,141691,25℃,29℃,阴,86838,84525,Y,0,18.812
158,2019/06/08,Y,週六,12,141691,24℃,29℃,阴,85932,79772,Y,0,20.821
159,2019/06/09,Y,週日,12,141691,25℃,29℃,阴,89842,85770,Y,0,39.629
160,2019/06/10,N,0,12,141691,23℃,28℃,中雨~大雨,84138,77785,Y,0,20.204
161,2019/06/11,N,0,12,141691,22℃,25℃,暴雨~中雨,82683,75032,Y,0,24.775
162,2019/06/12,N,0,12,141691,23℃,25℃,大雨~中雨,80746,75836,Y,0,21.136
163,2019/06/13,N,0,12,141691,23℃,25℃,大雨,78229,74339,Y,0,18.028
164,2019/06/14,N,0,12,141691,22℃,25℃,中雨~多云,83792,79973,Y,0,22.376
165,2019/06/15,Y,週六,12,141691,22℃,27℃,多云,88644,82220,Y,0,36.004
166,2019/06/16,Y,週日,12,141691,23℃,28℃,阴,81527,83018,Y,0,36.142
167,2019/06/17,N,0,12,141691,24℃,28℃,中雨~小雨,73551,70587,Y,0,21.24
168,2019/06/18,N,0,12,141691,25℃,29℃,小雨~阴,73330,75090,Y,0,14.008
169,2019/06/19,N,0,12,141691,26℃,30℃,阴,75932,75698,Y,0,11.581
170,2019/06/20,N,0,12,141691,25℃,30℃,阴,78368,83184,Y,0,8.622
171,2019/06/21,N,0,12,141691,26℃,31℃,多云~阴,77322,85583,Y,0,18.01
172,2019/06/22,Y,週六,12,141691,25℃,30℃,阴~小雨,78704,84586,Y,0,35.905
173,2019/06/23,Y,週日,12,141691,23℃,27℃,大雨~中雨,91559,93015,Y,0,52.929
174,2019/06/24,N,0,12,141691,22℃,26℃,大雨~小雨,80474,85003,Y,0,24.684
175,2019/06/25,N,0,12,141691,23℃,28℃,小雨,74036,78736,Y,0,26.978
176,2019/06/26,N,0,12,141691,23℃,27℃,小雨,78442,83398,Y,0,18.086
177,2019/06/27,N,0,12,141691,25℃,29℃,小雨~多云,73328,77449,Y,0,25.081
178,2019/06/28,N,0,12,141691,25℃,30℃,多云,92694,88800,Y,0,21.462
179,2019/06/29,Y,週六,12,141691,29℃,30℃,小雨,86014,83492,Y,0,30.077
180,2019/06/30,Y,週日,12,141691,26℃,30℃,小雨~阴,85637,92367,Y,0,39.645
181,2019/07/01,N,0,12,141691,26℃,29℃,阴,83637,89654,Y,0,23.925
182,2019/07/02,N,0,12,141691,26℃,30℃,中雨~小雨,76616,82908,Y,0,21.346
183,2019/07/03,N,0,12,141691,26℃,29℃,中雨~阴,76876,83223,Y,0,19.627
184,2019/07/04,N,0,12,141691,26℃,30℃,小雨~阴,81672,85754,Y,0,15.833
185,2019/07/05,N,0,12,141691,26℃,30℃,阴,84321,87051,Y,0,15.497
186,2019/07/06,Y,週六,12,141691,26℃,30℃,阴,85843,90559,Y,0,31.007
187,2019/07/07,Y,週日,12,141691,25℃,30℃,阴,83399,92097,Y,0,28.85
188,2019/07/08,N,0,12,141691,26℃,30℃,阴,77858,82554,Y,0,14.936
189,2019/07/09,N,0,12,141691,26℃,30℃,阴,79887,85844,Y,0,21.51
190,2019/07/10,N,0,12,141691,26℃,31℃,阴,75408,83380,Y,0,15.105
191,2019/07/11,N,0,12,141691,25℃,29℃,中雨~多云,80274,84369,Y,0,11.49
192,2019/07/12,N,0,12,141691,25℃,30℃,阴~多云,81468,89719,Y,0,17.17
193,2019/07/13,Y,週六,12,141691,26℃,31℃,阴,88670,94148,Y,0,34.252
194,2019/07/14,Y,週日,12,141691,25℃,30℃,阴,86265,93893,Y,0,43.787
195,2019/07/15,N,0,12,141691,25℃,30℃,阴~多云,79931,91601,Y,0,26.543
196,2019/07/16,N,0,12,141691,26℃,30℃,多云,76876,86055,Y,0,22.725
197,2019/07/17,N,0,12,141691,26℃,30℃,小雨,75561,83782,Y,0,30.021
198,2019/07/18,N,0,12,141691,26℃,29℃,中雨~小雨,80031,82254,Y,0,18.401
199,2019/07/19,N,0,12,141691,26℃,31℃,阴,85288,88444,Y,0,15.551
200,2019/07/20,Y,週六,12,141691,26℃,30℃,阴,85964,85221,N,0,37.217
201,2019/07/21,Y,週日,12,141691,26℃,30℃,中雨~小雨,84392,88114,Y,0,31.62
202,2019/07/22,N,0,12,141691,25℃,30℃,中雨~多云,85409,89748,Y,0,17.128
203,2019/07/23,N,0,12,141691,26℃,30℃,小雨~多云,73581,75183,Y,0,20.082
204,2019/07/24,N,0,12,141691,26℃,29℃,阴~多云,76229,76622,Y,0,28.127
205,2019/07/25,N,0,12,141691,26℃,30℃,阴~多云,89425,83446,Y,0,15.036
206,2019/07/26,N,0,12,141691,25℃,30℃,小雨~多云,85619,80271,Y,0,23.18
207,2019/07/27,Y,週六,12,141691,25℃,30℃,中雨~多云,89578,79408,Y,0,35.264
208,2019/07/28,Y,週日,12,141691,25℃,29℃,小雨~多云,90909,86856,Y,0,45.486
209,2019/07/29,N,0,12,141691,25℃,31℃,多云,83236,81662,Y,0,24.106
