_id,﻿,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
6093a6d4e3b5f44c89d7dd4a,168,2019/06/18,N,0,12,141691,25℃,29℃,小雨~阴,73330,75090,Y,0,14.008
6093a6d4e3b5f44c89d7dd4b,169,2019/06/19,N,0,12,141691,26℃,30℃,阴,75932,75698,Y,0,11.581
6093a6d4e3b5f44c89d7dd4c,170,2019/06/20,N,0,12,141691,25℃,30℃,阴,78368,83184,Y,0,8.622
6093a6d4e3b5f44c89d7dd4d,171,2019/06/21,N,0,12,141691,26℃,31℃,多云~阴,77322,85583,Y,0,18.01
6093a6d4e3b5f44c89d7dd4e,172,2019/06/22,Y,週六,12,141691,25℃,30℃,阴~小雨,78704,84586,Y,0,35.905
6093a6d4e3b5f44c89d7dd4f,173,2019/06/23,Y,週日,12,141691,23℃,27℃,大雨~中雨,91559,93015,Y,0,52.929
6093a6d4e3b5f44c89d7dd50,174,2019/06/24,N,0,12,141691,22℃,26℃,大雨~小雨,80474,85003,Y,0,24.684
6093a6d4e3b5f44c89d7dd51,175,2019/06/25,N,0,12,141691,23℃,28℃,小雨,74036,78736,Y,0,26.978
6093a6d4e3b5f44c89d7dd52,176,2019/06/26,N,0,12,141691,23℃,27℃,小雨,78442,83398,Y,0,18.086
6093a6d4e3b5f44c89d7dd53,177,2019/06/27,N,0,12,141691,25℃,29℃,小雨~多云,73328,77449,Y,0,25.081
6093a6d4e3b5f44c89d7dd54,178,2019/06/28,N,0,12,141691,25℃,30℃,多云,92694,88800,Y,0,21.462
6093a6d4e3b5f44c89d7dd55,179,2019/06/29,Y,週六,12,141691,29℃,30℃,小雨,86014,83492,Y,0,30.077
6093a6d4e3b5f44c89d7dd56,180,2019/06/30,Y,週日,12,141691,26℃,30℃,小雨~阴,85637,92367,Y,0,39.645
6093a6d4e3b5f44c89d7dd57,181,2019/07/01,N,0,12,141691,26℃,29℃,阴,83637,89654,Y,0,23.925
6093a6d4e3b5f44c89d7dd58,182,2019/07/02,N,0,12,141691,26℃,30℃,中雨~小雨,76616,82908,Y,0,21.346
6093a6d4e3b5f44c89d7dd59,183,2019/07/03,N,0,12,141691,26℃,29℃,中雨~阴,76876,83223,Y,0,19.627
6093a6d4e3b5f44c89d7dd5a,184,2019/07/04,N,0,12,141691,26℃,30℃,小雨~阴,81672,85754,Y,0,15.833
6093a6d4e3b5f44c89d7dd5b,185,2019/07/05,N,0,12,141691,26℃,30℃,阴,84321,87051,Y,0,15.497
6093a6d4e3b5f44c89d7dd5c,186,2019/07/06,Y,週六,12,141691,26℃,30℃,阴,85843,90559,Y,0,31.007
6093a6d4e3b5f44c89d7dd5d,187,2019/07/07,Y,週日,12,141691,25℃,30℃,阴,83399,92097,Y,0,28.85
6093a6d4e3b5f44c89d7dd5e,188,2019/07/08,N,0,12,141691,26℃,30℃,阴,77858,82554,Y,0,14.936
6093a6d4e3b5f44c89d7dd5f,189,2019/07/09,N,0,12,141691,26℃,30℃,阴,79887,85844,Y,0,21.51
6093a6d4e3b5f44c89d7dd60,190,2019/07/10,N,0,12,141691,26℃,31℃,阴,75408,83380,Y,0,15.105
6093a6d4e3b5f44c89d7dd61,191,2019/07/11,N,0,12,141691,25℃,29℃,中雨~多云,80274,84369,Y,0,11.49
